,Foundation,Price USD,Ounces,Price/Ounce,Shade Range,Release Year,Shade Distribution comment,,Brand,Rating (1-4),Has Darker Shades,Brand Tier
51,Dior Diorskin Star Studio Foundation,50,1,50,14,2014,"Alright - 5L, 2M, 3 Beige, 4""Dark""",,Dior,1,1,Highend/Luxury
52,Elizabeth Arden Flawless Finish Everyday Perfection Bouncy Makeup,39.5,1,39.5,14,,WORST. 2 dark shades that are sand at best.,,Elizabeth Arden,1,0,Sephora/Ulta
53,Nuetrogena Healthy Skin Liquid Makeup,14,1,14,14,2016,Bad. 2 shades for dark skin tones and they're not dark enough.,,Neutrogena,1,0,Drugstore
54,Covergirl Vitalist Healthy Elixir Foundation,6,1,6,14,2017,"Terrible - 3D, 2M/T - everything else is L/B",,Covergirl,1,1,Drugstore
55,By Terry Terrybly Densiliss Foundation,116,1,116,14,2017,Evenly terrible. 1 dark shade. Mostly Beige/Medium.,,Terry Terrybly,1,1,Uber Luxury
56,CHANTECAILLE Future Skin Foundation,78,1,78,14,2014,Terrible - 13 random pinky beige shades and 1 dark brown.,,CHANTECAILLE,1,1,Uber Luxury
57,Burberry Fresh Glow,52,1,52,14,2015,Decent. Could use a lot more darker shades + paler shades.,,Burberry,2,1,Highend/Luxury
58,Josie Maran Vibrancy Argan Oil,45,1,45,13,2016,TERRIBLE. Could use more than 1 shade fo deep/dark.,,Josie Maran,1,1,Sephora/Ulta
59,Burberry Cashmere Soft Matte,52,1,52,13,2017,Bad. Beige and Nudes for beige skin tone.,,Burberry,1,1,Highend/Luxury
60,NARS Velvet Matte Skin Tint,45,1.7,26.5,12,2016,Good - P.even but could use more dark shades.,,NARS,2,1,Sephora/Ulta
61,L'oreal Infallible Line,13,1,13,12,,"Borderline Terrible - 2 oranges, 1 brown and beiges.",,L'Oreal,1,1,Drugstore
62,La Prairie Skin Caviar Foundation + Concealer,225,1,225,12,,TERRIBLE - The darkes shade is medium at best.,,La Prairie,1,0,Uber Luxury
63,Kevyn Aucoin Sensual Skin Fluid,65,0.68,95.6,12,2016,Good - Less shades but htey're evenly distributed.,,Kevyn Aucoin,3,1,Highend/Luxury
64,Revlon Youth FX,18,1,18,12,2017,Bad - 4 non light/beige shades.,,Revlon,1,1,Drugstore
65,Natasha Denona Face Glow,42,1.01,41.58,12,2017,Bad - Just a buncha random shades here...,,Natasha Denona,1,1,Highend/Luxury
66,Dior Airflash,62,2.3,27,11,2015,Shit - 1 Dark Shade.,,Dior,1,1,Highend/Luxury
67,Lancôme Miracle Cushion,47,0.5,94,11,2015,Good range. Suitable for all except extreme pale/dark shades,,Lacome,3,1,Highend/Luxury
68,CHANEL Sublimage Le Teint Cream Foundation,135,1,135,10,2017,THE WORST - 10 shades of beige: acc. to Nordstorm.,,CHANEL,1,0,Uber Luxury
69,Givenchy Teint Couture,51,0.8,63.8,10,2016,TERRIBLE - NO DARK SHADES. 1 or 2 light shades.,,Givenchy,1,0,Highend/Luxury
70,La Mer Treatment Fluid,85,1,85,10,2015,???,,La Mer,0,,Uber Luxury
71,Clé De Peau The Foundation,250,0.91,274.7,10,,WORST. 10 shades of beige.,,Cle De Peu,1,0,Uber Luxury
72,Charlotte Tilbury Light Wonder,46,1.4,32.9,10,2015,THE WORST - 9 L/B shades + 1 medium. 0 Dark.,,Charlotte Tilbury,1,0,Highend/Luxury
73,CHANEL Vitalumière Aqua,50,0.6,83.3,10,2015,THE WORST - 10 shades of beige: acc. to Nordstorm.,,CHANEL,1,0,Uber Luxury
74,Laura Geller Cover Lock,38,1,38,9,2017,"Terrible for darker shades - 3L, 3M, 2T, 1D.",,Laura Geller,1,1,Sephora/Ulta
75,Benifit Hello Flawless,36,1,36,9,2014,P.Bad. ONLY 9 shades. Too many jumps bw shades.,,Benefit,1,1,Sephora/Ulta
76,Stila Aquaglow Serum Foundation,45,1,45,9,2015,Terrible. 1/2 dark/deep shade. Everything else is light-beige-medium,,Stila,1,1,Sephora/Ulta
77,BECCA Aqua Luminous,44,1,44,9,2016,"P.Bad. 4Fair/Light, 2-3 medium, 1-2 dark/deep.",,BECCA,1,1,Sephora/Ulta
78,Tom Ford Traceless Foundation Stick,85,0.5,170,9,,P.Bad - No superlight/dark shades. No sprectrum here.,,Tom Ford,1,0,Uber Luxury
79,It Cosmetics CC Cream,38,1.08,35.2,8,2014,THE WORST. Only light shades and 1-2 tan shades.,,It Cosmetics,1,0,Sephora/Ulta
80,Givenchy Matissime Velvet,54,1,54,8,2017,TERRIBLE - NO DARK SHADES.,,Givenchy,1,0,Highend/Luxury
81,Koh Gen Do Aqua Foundation,66,1.01,65.4,7,2016,Shit - NO DEEP SHADES,,Koh Gen Do,1,0,Highend/Luxury
82,PÜR Hydra-Fluid Water Serum,40,1,40,5,2016,"TERRIBLE - 1L, 1M, 1B, 1Dark, 1Depp",,Pur,1,1,Sephora/Ulta
83,Clé De Peau Silky Cream Foundation,120,1.1,109,5,2017,TERRIBLE - NO DARK SHADES.,,Cle De Peu,1,0,Uber Luxury
84,Soap & Glory One Heck of A Blot,9.49,1,9.49,4,2016,Evenly terrible. The darkest shade is...caramel.,,Soap & Glory,1,0,Drugstore
85,Physicians Formula Le Velvet Foundation,13,1,13,4,2017,THE WORST - The darkest shade is ivory.,,Physician's Formula,1,0,Drugstore
86,Burt's Bee's BB Cream,15,1.7,8.8,3,2017,"THE WORST. Comes in light, light medium, medium.",,Burt's Bees,1,0,Drugstore
87,Perricone MD No Foundation Foundation,60,1,60,1,2014,THE WORST. ONLY 1 SHADE.,,Perricone,1,0,Highend/Luxury
88,Sisley Skinleÿa Anti-Aging Lift Foundation,195,1,195,1,2015,THE WORST OF THE WORST,,Sisley Skinleya,1,0,Uber Luxury
